CaseID,Activity,Timestamp,Resource,Cost
PO-1001,Create PO,2024-02-20 14:12:08,Buyer B,81
PO-1001,Approve,2024-02-21 14:46:04,Manager X,96
PO-1001,Send to Vendor,2024-02-21 18:56:45,System,161
PO-1001,Receive Goods,2024-02-25 11:51:11,Warehouse,63
PO-1001,Receive Invoice,2024-02-29 09:37:18,AP Clerk 1,108
PO-1001,Pay,2024-03-09 19:02:53,AP Clerk 1,172
PO-1002,Create PO,2024-02-24 12:26:37,Buyer C,85
PO-1002,Approve,2024-02-25 07:32:59,Manager Y,116
PO-1002,Reject,2024-02-25 09:44:46,Manager Y,128
PO-1002,Revise,2024-02-25 17:23:12,Buyer B,194
PO-1002,Approve,2024-02-25 22:15:42,Manager Y,35
PO-1002,Send to Vendor,2024-02-26 05:20:35,System,134
PO-1002,Receive Goods,2024-03-02 05:39:37,Warehouse,126
PO-1002,Receive Invoice,2024-03-05 19:44:41,AP Clerk 2,137
PO-1002,Pay,2024-03-20 05:08:38,AP Clerk 1,92
PO-1003,Create PO,2024-03-13 15:19:32,Buyer C,144
PO-1003,Approve,2024-03-14 19:46:44,Manager Y,193
PO-1003,Send to Vendor,2024-03-14 22:50:29,System,147
PO-1003,Receive Invoice,2024-03-19 23:22:53,AP Clerk 2,148
PO-1003,Receive Goods,2024-03-22 09:52:18,Warehouse,35
PO-1003,Pay,2024-03-27 21:35:16,AP Clerk 2,134
PO-1004,Create PO,2024-03-31 13:56:19,Buyer C,117
PO-1004,Approve,2024-03-31 18:47:48,Manager Y,87
PO-1004,Send to Vendor,2024-04-01 02:41:21,System,21
PO-1004,Cancel,2024-04-03 08:35:58,Buyer A,170
PO-1005,Create PO,2024-03-19 14:12:59,Buyer A,153
PO-1005,Approve,2024-03-20 02:56:57,Manager Y,186
PO-1005,Send to Vendor,2024-03-20 10:53:11,System,28
PO-1005,Receive Invoice,2024-03-25 21:39:58,AP Clerk 2,88
PO-1005,Receive Goods,2024-03-27 04:29:28,Warehouse,68
PO-1005,Pay,2024-04-01 08:01:50,AP Clerk 1,146
PO-1006,Create PO,2024-03-01 09:48:58,Buyer C,140
PO-1006,Approve,2024-03-01 21:21:48,Manager Y,27
PO-1006,Send to Vendor,2024-03-02 04:20:01,System,21
PO-1006,Receive Goods,2024-03-10 10:46:21,Warehouse,147
PO-1006,Receive Invoice,2024-03-13 01:59:52,AP Clerk 1,106
PO-1006,Pay,2024-03-23 15:17:15,AP Clerk 1,43
PO-1007,Create PO,2024-01-24 02:55:17,Buyer B,36
PO-1007,Approve,2024-01-24 20:58:35,Manager X,105
PO-1007,Reject,2024-01-25 03:35:51,Manager X,41
PO-1007,Revise,2024-01-25 19:40:41,Buyer B,30
PO-1007,Approve,2024-01-26 15:10:59,Manager Y,37
PO-1007,Send to Vendor,2024-01-26 17:09:02,System,180
PO-1007,Receive Goods,2024-02-04 00:41:58,Warehouse,29
PO-1007,Receive Invoice,2024-02-07 04:12:15,AP Clerk 2,175
PO-1007,Pay,2024-02-18 10:46:32,AP Clerk 2,107
