Task,Parent,Start,End,Progress,Predecessors,Milestone,Category
Kickoff,,2026-08-01,2026-08-01,1,,true,Governance
Discovery,,2026-08-01,2026-08-20,0.9,Kickoff,false,Discovery
Interviews,Discovery,2026-08-01,2026-08-10,1,Kickoff,false,Discovery
Analysis,Discovery,2026-08-11,2026-08-20,0.8,Interviews,false,Discovery
Design,,2026-08-21,2026-09-15,0.6,Discovery,false,Design
Wireframes,Design,2026-08-21,2026-09-01,1,Analysis,false,Design
Visual Design,Design,2026-09-02,2026-09-15,0.5,Wireframes,false,Design
Build,,2026-09-16,2026-11-05,0.2,Design,false,Build
Setup,Build,2026-09-16,2026-09-22,1,Visual Design,false,Build
Backend,Build,2026-09-23,2026-10-20,0.4,Setup,false,Build
Frontend,Build,2026-09-23,2026-10-25,0.3,Setup,false,Build
Integration,Build,2026-10-26,2026-11-05,0,Backend:FF+2,false,Build
QA,,2026-11-06,2026-11-20,0,Integration,false,QA
Regression,QA,2026-11-06,2026-11-15,0,Integration,false,QA
UAT,QA,2026-11-13,2026-11-20,0,Regression:SS+5,false,QA
Launch,,2026-11-21,2026-11-21,0,UAT,true,Governance
