Id,Value
0,53.846
1,37.500
2,53.692
3,55.254
4,43.590
5,41.322
6,40.460
7,43.581
8,58.279
9,37.844
10,44.041
11,65.491
12,37.632
13,40.844
14,62.055
15,55.261
16,64.367
17,57.200
18,35.808
19,46.200
20,55.473
21,44.432
22,47.969
23,40.177
24,39.630
25,44.973
26,38.828
27,59.727
28,62.323
29,45.159
30,50.148
31,71.985
32,30.591
33,57.905
34,45.781
35,30.263
36,64.077
37,68.970
38,39.389
39,51.025
40,57.353
41,50.063
42,58.091
43,50.212
44,60.770
45,39.329
46,59.874
47,54.759
48,40.395
49,43.690
50,60.807
51,45.701
52,35.229
53,49.184
54,58.396
55,42.474
56,41.527
57,42.687
58,59.352
59,35.831
60,48.242
61,47.081
62,48.795
63,40.015
64,58.648
65,34.696
66,36.192
67,56.241
68,39.946
69,71.330
70,46.826
71,54.424
72,53.025
73,37.753
74,37.415
75,56.766
76,39.585
77,24.918
78,38.820
79,56.725
80,52.807
81,43.671
82,37.693
83,44.803
84,64.143
85,61.578
86,50.500
87,50.677
88,60.031
89,69.141
90,64.383
91,46.308
92,54.809
93,36.810
94,48.608
95,61.617
96,58.215
97,32.457
98,53.884
99,51.482
100,51.539
101,74.753
102,58.818
103,54.068
104,63.253
105,71.527
106,52.940
107,51.580
108,62.214
109,27.695
110,78.936
111,55.070
112,45.864
113,66.058
114,60.793
115,62.561
116,52.878
117,65.952
118,57.978
119,27.223
120,51.594
121,65.296
122,57.880
123,53.507
124,42.736
125,55.656
126,48.002
127,39.124
128,40.075
129,45.255
130,46.854
131,61.038
132,41.173
133,48.038
134,52.033
135,44.239
136,47.159
137,58.696
138,38.931
139,48.777
140,62.304
141,46.141
142,55.139
143,45.041
144,48.438
145,51.436
146,49.803
147,57.345
148,52.329
149,41.164
150,45.148
151,37.703
152,61.431
153,46.218
154,36.841
155,54.568
156,48.049
157,39.267
158,50.275
159,45.995
160,32.382
161,76.046
162,48.330
163,70.672
164,41.327
165,56.695
166,40.060
167,67.015
168,51.581
169,41.813
170,48.788
171,48.533
172,56.153
173,39.341
174,49.710
175,71.978
176,34.896
177,52.144
178,61.532
179,51.055
180,59.784
181,41.699
182,42.749
183,42.908
184,54.549
185,38.536
186,47.432
187,43.642
188,58.560
189,63.761
190,49.943
191,54.605
192,57.158
193,46.424
194,50.832
195,47.078
196,56.252
197,50.179
198,47.470
199,56.478
200,42.241
201,57.570
202,75.707
203,47.454
204,48.181
205,56.004
206,39.967
207,59.174
208,58.879
209,39.634
210,49.501
211,60.155
212,49.892
213,49.514
214,64.477
215,41.948
216,27.644
217,32.402
218,64.831
219,31.963
220,56.234
221,51.948
222,66.481
223,46.326
224,47.961
225,43.441
226,45.289
227,50.495
228,51.453
229,35.107
230,31.119
231,56.581
232,46.718
233,57.971
234,60.707
235,62.771
236,60.722
237,57.765
238,44.745
239,46.356
240,35.683
241,47.747
242,61.030
243,42.612
244,36.627
245,33.876
246,59.221
247,41.540
248,50.487
249,65.921
250,36.712
251,57.177
252,45.646
253,67.451
254,42.465
255,57.316
256,48.923
257,51.695
258,58.921
259,42.761
260,58.246
261,41.612
262,50.573
263,38.596
264,62.101
265,47.454
266,58.222
267,53.792
268,48.980
269,62.415
270,47.984
271,40.830
272,57.115
273,28.320
274,59.956
275,53.213
276,40.991
277,58.029
278,71.587
279,25.411
280,25.912
281,27.264
282,52.636
283,45.389
284,66.243
285,46.723
286,53.999
287,48.212
288,49.449
289,55.655
290,35.503
291,41.203
292,52.451
293,45.575
294,58.719
295,56.002
296,48.856
297,38.131
298,35.987
299,34.931
300,43.472
301,41.091
302,53.449
303,46.919
304,38.741
305,34.437
306,32.733
307,64.043
308,36.135
309,47.744
310,64.214
311,46.196
312,66.037
313,38.621
314,59.857
315,53.812
316,47.155
317,47.931
318,49.857
319,51.186
320,58.313
321,42.468
322,68.694
323,40.399
324,41.063
325,64.011
326,57.199
327,43.958
328,57.437
329,44.284
330,57.063
331,52.341
332,42.342
333,70.008
334,54.996
335,51.935
336,58.214
337,60.222
338,58.001
339,39.851
340,42.979
341,61.799
342,55.623
343,35.938
344,55.812
345,49.220
346,55.481
347,44.977
348,66.248
349,47.794
350,37.316
351,44.910
352,47.754
353,51.417
354,49.523
355,45.923
356,46.908
357,45.963
358,69.754
359,42.309
360,52.845
361,48.602
362,51.406
363,53.683
364,59.281
365,29.420
366,39.430
367,46.442
368,45.630
369,68.585
370,60.161
371,49.908
372,50.683
373,28.557
374,45.773
375,58.607
376,47.812
377,49.641
378,74.589
379,44.425
380,53.315
381,58.322
382,53.127
383,25.111
384,53.185
385,55.774
386,33.718
387,57.033
388,42.340
389,47.991
390,35.167
391,31.808
392,52.646
393,49.954
394,65.719
395,37.275
396,46.875
397,61.784
398,48.434
399,59.252
400,68.142
401,63.087
402,46.880
403,47.495
404,46.115
405,59.883
406,52.909
407,58.234
408,40.924
409,57.650
410,55.722
411,52.453
412,39.036
413,33.536
414,45.013
415,61.237
416,46.906
417,59.785
418,30.150
419,60.227
420,46.737
421,37.881
422,57.841
423,50.486
424,48.840
425,62.257
426,47.752
427,49.499
428,51.544
429,55.109
430,42.723
431,58.846
432,46.712
433,55.082
434,54.654
435,60.654
436,52.087
437,39.634
438,52.362
439,41.415
440,27.826
441,42.215
442,35.458
443,49.610
444,58.283
445,31.301
446,29.553
447,44.868
448,43.985
449,59.875
450,49.677
451,38.996
452,58.134
453,50.304
454,55.542
455,45.190
456,39.892
457,48.447
458,29.698
459,53.369
460,50.830
461,55.548
462,58.597
463,47.602
464,54.444
465,51.547
466,49.610
467,32.265
468,44.695
469,56.597
470,48.342
471,61.338
472,58.640
473,48.789
474,64.715
475,47.025
476,37.810
477,40.404
478,52.967
479,46.551
480,49.487
481,40.951
482,46.986
483,45.836
484,37.130
485,35.191
486,47.728
487,53.212
488,61.092
489,51.023
490,63.056
491,52.441
492,50.125
493,36.325
494,72.178
495,53.266
496,62.866
497,43.398
498,51.581
499,49.217
500,62.440
501,34.072
502,49.428
503,34.034
504,61.145
505,64.592
506,37.246
507,50.421
508,53.576
509,48.291
510,63.526
511,44.749
512,18.208
513,60.671
514,51.270
515,41.100
516,30.664
517,58.425
518,61.453
519,62.377
520,67.969
521,57.500
522,54.682
523,43.022
524,49.755
525,52.656
526,34.539
527,57.028
528,38.175
529,40.200
530,47.406
531,42.030
532,37.893
533,41.171
534,31.917
535,47.388
536,50.872
537,69.461
538,53.292
539,59.860
540,28.878
541,76.654
542,54.799
543,41.942
544,54.584
545,68.259
546,34.065
547,41.012
548,61.948
549,58.487
550,26.519
551,28.765
552,48.866
553,67.917
554,55.621
555,54.173
556,39.902
