Id,Group,Value
0,A,21.033
1,A,42.922
2,A,38.920
3,A,26.601
4,A,31.351
5,A,33.095
6,A,49.800
7,A,31.552
8,A,27.194
9,A,36.255
10,A,38.198
11,A,36.741
12,A,42.267
13,A,42.115
14,A,34.494
15,A,49.603
16,A,48.714
17,A,42.506
18,A,38.443
19,A,45.964
20,A,40.305
21,A,44.537
22,A,43.666
23,A,45.854
24,A,27.737
25,A,42.595
26,A,41.987
27,A,39.646
28,A,29.182
29,A,45.130
30,A,29.668
31,A,33.620
32,A,44.757
33,A,34.406
34,A,32.956
35,A,48.070
36,A,39.229
37,A,27.714
38,A,31.474
39,A,22.403
40,A,22.973
41,A,37.712
42,A,33.033
43,A,29.590
44,A,38.054
45,A,30.794
46,A,31.559
47,A,31.795
48,A,39.788
49,A,26.946
50,A,29.739
51,A,44.547
52,A,41.155
53,A,30.048
54,A,40.254
55,A,31.026
56,A,41.123
57,A,36.159
58,A,34.804
59,A,23.274
60,A,18.818
61,A,35.608
62,A,46.493
63,A,27.755
64,A,34.488
65,A,23.884
66,A,25.255
67,A,43.948
68,A,45.080
69,A,30.629
70,A,28.288
71,A,29.424
72,A,38.664
73,A,34.684
74,A,19.073
75,A,29.801
76,A,21.400
77,A,44.405
78,A,17.255
79,A,40.962
80,A,37.347
81,A,36.865
82,A,32.612
83,A,49.023
84,A,32.502
85,A,35.820
86,A,26.188
87,A,27.320
88,A,31.487
89,A,45.034
90,A,43.974
91,A,29.510
92,A,49.809
93,A,46.027
94,A,36.799
95,A,37.332
96,A,30.194
97,A,29.940
98,A,49.262
99,A,28.873
100,A,26.223
101,A,22.811
102,A,39.509
103,A,38.157
104,A,52.204
105,A,14.100
106,A,24.588
107,A,42.248
108,A,38.949
109,A,47.211
110,A,25.563
111,A,48.796
112,A,18.942
113,A,39.450
114,A,31.440
115,A,28.752
116,A,33.292
117,A,40.363
118,A,31.810
119,A,31.429
120,A,41.430
121,A,35.172
122,A,41.754
123,A,41.412
124,A,35.050
125,A,27.655
126,A,32.581
127,A,47.576
128,A,41.269
129,A,36.984
130,A,44.336
131,A,23.312
132,A,33.401
133,A,27.099
134,A,31.637
135,A,42.654
136,A,35.894
137,A,36.116
138,A,38.208
139,A,30.324
140,A,39.083
141,A,36.359
142,A,47.703
143,A,39.830
144,A,33.199
145,A,38.361
146,A,26.679
147,A,32.464
148,A,23.313
149,A,26.321
150,A,29.660
151,A,46.743
152,A,51.048
153,A,42.700
154,A,20.479
155,A,45.394
156,A,21.301
157,A,29.270
158,A,36.874
159,A,16.686
160,A,31.704
161,A,25.219
162,A,30.418
163,A,39.839
164,A,40.531
165,A,39.610
166,A,31.625
167,A,39.844
168,A,31.070
169,A,32.846
170,A,35.982
171,A,30.535
172,A,38.449
173,A,36.303
174,A,28.462
175,A,21.728
176,A,37.179
177,A,43.163
178,A,52.169
179,A,26.635
180,A,38.969
181,A,40.767
182,A,38.090
183,A,35.389
184,A,21.926
185,A,27.875
186,A,53.936
187,A,38.535
188,A,47.329
189,A,26.036
190,A,39.879
191,A,28.512
192,A,28.370
193,A,37.583
194,A,24.341
195,A,34.009
196,A,41.835
197,A,23.944
198,A,17.319
199,A,36.458
200,A,33.294
201,A,37.562
202,A,50.488
203,A,36.921
204,A,19.616
205,A,52.988
206,A,47.858
207,A,42.011
208,A,42.774
209,A,35.165
210,A,32.599
211,A,47.025
212,A,25.888
213,A,35.565
214,A,30.268
215,A,41.646
216,A,46.085
217,A,39.638
218,A,39.993
219,A,46.255
220,A,28.346
