Service,Kind,Label,Start,End
api-gateway,retry,retry,2024-03-06 19:55:39,2024-03-06 19:55:40
search,request,request,2024-03-05 12:13:34,2024-03-05 12:13:34
cdn,request,request,2024-03-07 08:51:32,2024-03-07 08:51:33
search,request,request,2024-03-09 08:25:39,2024-03-09 08:25:40
auth,request,request,2024-03-04 08:35:48,2024-03-04 08:35:48
api-gateway,request,request,2024-03-09 10:02:22,2024-03-09 10:02:23
billing,request,request,2024-03-08 00:13:34,2024-03-08 00:13:36
auth,request,request,2024-03-04 00:50:45,2024-03-04 00:50:45
billing,request,request,2024-03-09 02:19:03,2024-03-09 02:19:03
render,retry,retry,2024-03-10 01:24:59,2024-03-10 01:24:59
render,request,request,2024-03-08 16:00:31,2024-03-08 16:00:32
search,request,request,2024-03-05 16:03:48,2024-03-05 16:03:49
billing,request,request,2024-03-10 06:55:49,2024-03-10 06:55:50
auth,slow-query,slow-query,2024-03-06 04:51:03,2024-03-06 04:51:09
api-gateway,request,request,2024-03-06 22:03:29,2024-03-06 22:03:30
db-proxy,request,request,2024-03-10 22:12:12,2024-03-10 22:12:13
api-gateway,error,error,2024-03-08 05:41:13,
billing,slow-query,slow-query,2024-03-10 11:22:42,2024-03-10 11:22:48
cdn,timeout,timeout,2024-03-05 11:29:40,2024-03-05 11:29:59
queue,request,request,2024-03-06 04:18:54,2024-03-06 04:18:55
db-proxy,request,request,2024-03-10 22:30:22,2024-03-10 22:30:22
api-gateway,slow-query,slow-query,2024-03-07 14:22:57,2024-03-07 14:23:01
queue,timeout,timeout,2024-03-04 22:46:12,2024-03-04 22:46:21
queue,request,request,2024-03-07 04:18:01,2024-03-07 04:18:02
render,slow-query,slow-query,2024-03-04 09:49:33,2024-03-04 09:49:36
api-gateway,request,request,2024-03-05 17:48:35,2024-03-05 17:48:36
search,slow-query,slow-query,2024-03-04 09:33:00,2024-03-04 09:33:03
render,request,request,2024-03-09 16:08:44,2024-03-09 16:08:45
auth,retry,retry,2024-03-06 19:04:19,2024-03-06 19:04:20
queue,request,request,2024-03-07 13:18:03,2024-03-07 13:18:03
search,request,request,2024-03-10 06:48:06,2024-03-10 06:48:07
cdn,slow-query,slow-query,2024-03-08 04:26:24,2024-03-08 04:26:27
render,request,request,2024-03-04 12:30:42,2024-03-04 12:30:42
api-gateway,request,request,2024-03-09 17:26:10,2024-03-09 17:26:11
db-proxy,request,request,2024-03-09 15:41:15,2024-03-09 15:41:16
billing,slow-query,slow-query,2024-03-07 23:01:00,2024-03-07 23:01:08
cdn,timeout,timeout,2024-03-05 23:11:08,2024-03-05 23:11:21
