Quarter,Country,Value
2024 Q1,USA,99.98
2024 Q2,USA,101.05
2024 Q3,USA,102.39
2024 Q4,USA,104.34
2025 Q1,USA,100.92
2025 Q2,USA,99.09
2025 Q3,USA,100.79
2025 Q4,USA,102.39
2026 Q1,USA,99.71
2026 Q2,USA,102.28
2026 Q3,USA,101.39
2026 Q4,USA,103.70
2024 Q1,China,148.12
2024 Q2,China,145.05
2024 Q3,China,143.43
2024 Q4,China,144.02
2025 Q1,China,140.75
2025 Q2,China,139.74
2025 Q3,China,137.05
2025 Q4,China,136.49
2026 Q1,China,133.98
2026 Q2,China,134.59
2026 Q3,China,133.10
2026 Q4,China,133.68
2024 Q1,Japan,121.05
2024 Q2,Japan,121.42
2024 Q3,Japan,121.55
2024 Q4,Japan,122.52
2025 Q1,Japan,123.62
2025 Q2,Japan,122.18
2025 Q3,Japan,121.25
2025 Q4,Japan,122.11
2026 Q1,Japan,122.45
2026 Q2,Japan,121.41
2026 Q3,Japan,122.98
2026 Q4,Japan,121.78
2024 Q1,Germany,111.19
2024 Q2,Germany,113.87
2024 Q3,Germany,115.99
2024 Q4,Germany,115.39
2025 Q1,Germany,118.28
2025 Q2,Germany,118.68
2025 Q3,Germany,121.42
2025 Q4,Germany,121.03
2026 Q1,Germany,124.23
2026 Q2,Germany,125.52
2026 Q3,Germany,123.76
2026 Q4,Germany,124.23
2024 Q1,India,128.81
2024 Q2,India,130.28
2024 Q3,India,129.07
2024 Q4,India,129.35
2025 Q1,India,129.53
2025 Q2,India,128.73
2025 Q3,India,130.32
2025 Q4,India,129.31
2026 Q1,India,127.99
2026 Q2,India,129.68
2026 Q3,India,128.96
2026 Q4,India,128.51
2024 Q1,UK,127.50
2024 Q2,UK,128.68
2024 Q3,UK,128.56
2024 Q4,UK,125.16
2025 Q1,UK,123.64
2025 Q2,UK,120.67
2025 Q3,UK,117.17
2025 Q4,UK,113.64
2026 Q1,UK,114.11
2026 Q2,UK,111.11
2026 Q3,UK,109.86
2026 Q4,UK,107.68
2024 Q1,France,143.32
2024 Q2,France,142.88
2024 Q3,France,142.53
2024 Q4,France,143.01
2025 Q1,France,142.64
2025 Q2,France,142.98
2025 Q3,France,143.41
2025 Q4,France,144.06
2026 Q1,France,144.75
2026 Q2,France,143.98
2026 Q3,France,143.98
2026 Q4,France,143.93
2024 Q1,Italy,105.30
2024 Q2,Italy,103.65
2024 Q3,Italy,102.44
2024 Q4,Italy,100.59
2025 Q1,Italy,99.71
2025 Q2,Italy,97.72
2025 Q3,Italy,95.20
2025 Q4,Italy,94.06
2026 Q1,Italy,92.19
2026 Q2,Italy,91.33
2026 Q3,Italy,90.70
2026 Q4,Italy,88.76
2024 Q1,Brazil,129.09
2024 Q2,Brazil,126.92
2024 Q3,Brazil,126.01
2024 Q4,Brazil,124.83
2025 Q1,Brazil,124.39
2025 Q2,Brazil,122.88
2025 Q3,Brazil,122.46
2025 Q4,Brazil,120.21
2026 Q1,Brazil,118.72
2026 Q2,Brazil,117.39
2026 Q3,Brazil,116.36
2026 Q4,Brazil,115.96
2024 Q1,Canada,117.67
2024 Q2,Canada,121.03
2024 Q3,Canada,123.69
2024 Q4,Canada,123.93
2025 Q1,Canada,125.92
2025 Q2,Canada,128.61
2025 Q3,Canada,132.53
2025 Q4,Canada,134.57
2026 Q1,Canada,135.56
2026 Q2,Canada,137.21
2026 Q3,Canada,137.98
2026 Q4,Canada,139.22
2024 Q1,Russia,129.01
2024 Q2,Russia,126.91
2024 Q3,Russia,123.65
2024 Q4,Russia,122.07
2025 Q1,Russia,120.92
2025 Q2,Russia,120.84
2025 Q3,Russia,120.32
2025 Q4,Russia,119.38
2026 Q1,Russia,118.89
2026 Q2,Russia,119.19
2026 Q3,Russia,115.52
2026 Q4,Russia,113.39
2024 Q1,South Korea,137.51
2024 Q2,South Korea,136.94
2024 Q3,South Korea,135.02
2024 Q4,South Korea,133.24
2025 Q1,South Korea,132.92
2025 Q2,South Korea,132.84
2025 Q3,South Korea,131.28
2025 Q4,South Korea,130.08
2026 Q1,South Korea,128.89
2026 Q2,South Korea,127.33
2026 Q3,South Korea,125.23
2026 Q4,South Korea,123.22
2024 Q1,Australia,101.74
2024 Q2,Australia,99.01
2024 Q3,Australia,101.20
2024 Q4,Australia,101.25
