SampleIndex,Amplitude
0,0.20053
1,0.81485
2,0.84167
3,0.39557
4,0.19245
5,-0.32856
6,-1.40763
7,-0.99530
8,-0.21283
9,0.78661
10,1.00279
11,0.52779
12,0.34116
13,-0.07353
14,-0.81276
15,-1.14933
16,-0.29140
17,0.60655
18,0.99657
19,0.53407
20,0.57964
21,0.19042
22,-0.56058
23,-1.24785
24,-0.84642
25,0.48697
26,0.97529
27,0.60733
28,0.48355
29,0.33991
30,0.05199
31,-1.03573
32,-0.97938
33,-0.03037
34,0.92944
35,0.96805
36,0.63375
37,0.24846
38,0.18337
39,-0.95626
40,-0.91048
41,-0.73398
42,0.64609
43,0.71059
44,1.00872
45,0.27173
46,0.25339
47,-0.68631
48,-1.49195
49,-0.84689
50,0.35297
51,1.00681
52,0.88676
53,0.44267
54,0.02673
55,-0.24499
56,-1.25297
57,-1.24017
58,-0.06022
59,0.91961
60,1.14784
61,0.46263
62,0.36470
63,0.32971
64,-0.73822
65,-1.41736
66,-0.50665
67,0.51994
68,0.65225
69,0.93233
70,0.22366
71,0.16689
72,-0.32414
73,-0.94543
74,-0.63183
75,-0.08012
76,0.89042
77,0.91729
78,0.45556
79,0.31481
80,-0.25166
81,-0.89426
82,-0.91262
83,-0.36475
84,1.01722
85,0.90773
86,0.64665
87,0.42514
88,0.03374
89,-0.81049
90,-1.25390
91,-0.51396
92,0.71410
93,0.71636
94,0.75925
95,0.52361
96,0.11071
97,-0.68030
98,-0.95522
99,-0.90832
100,0.35718
101,1.04426
102,0.90236
103,0.68550
104,0.36567
105,-0.07591
106,-1.03291
107,-1.29728
108,-0.12063
109,0.58936
110,1.04186
111,0.71012
112,0.11378
113,-0.00751
114,-0.78731
115,-1.10875
116,-0.41246
117,0.66853
118,0.88335
119,0.64920
120,0.18561
121,0.28296
122,-0.64297
123,-1.24574
124,-0.88955
125,0.20457
126,0.98767
127,0.87038
128,0.33669
129,0.10947
130,-0.09087
131,-1.15763
132,-1.12753
133,-0.03166
134,0.80853
135,1.02897
136,0.40616
137,0.51049
138,0.19917
139,-0.83483
140,-0.97964
141,-0.69205
142,0.51632
143,0.92127
144,0.50367
145,0.37657
146,0.04320
147,-0.64130
148,-1.29922
149,-0.85747
150,0.12755
151,1.09069
152,0.78120
153,0.62352
154,0.29607
155,-0.29986
156,-1.16177
157,-1.07729
158,0.08169
159,0.64390
160,0.87468
161,0.44809
162,0.18118
163,0.11829
164,-1.12583
165,-1.36328
166,-0.51232
167,0.44908
168,1.31539
169,0.73325
170,0.17676
171,0.05918
172,-0.71008
173,-1.28087
174,-1.09526
175,0.22832
176,0.88107
177,0.80115
178,0.54318
179,0.13408
180,-0.03656
181,-1.25058
182,-1.16120
183,0.04177
184,0.82579
185,0.88579
186,0.67386
187,0.08827
188,0.03194
189,-0.84044
190,-1.30257
191,-0.74233
192,0.74734
193,1.15361
194,0.50435
195,0.28141
196,0.44112
197,-0.60675
198,-1.46145
199,-0.79377
200,0.22942
201,0.88224
202,0.63028
203,0.52040
