SampleIndex,Amplitude,RPM
0,0.89887,600.00
1,1.09052,600.19
2,1.06730,600.38
3,1.03199,600.56
4,0.94123,600.75
5,1.19634,600.94
6,1.11923,601.13
7,1.16058,601.31
8,0.86661,601.50
9,0.89777,601.69
10,0.65883,601.88
11,0.87210,602.06
12,0.64256,602.25
13,0.78361,602.44
14,0.59007,602.63
15,0.75430,602.81
16,0.44885,603.00
17,0.28366,603.19
18,0.19151,603.38
19,0.48022,603.56
20,0.47222,603.75
21,0.67993,603.94
22,0.28679,604.13
23,0.44404,604.31
24,0.44792,604.50
25,0.85428,604.69
26,0.39882,604.88
27,0.87313,605.06
28,0.76865,605.25
29,0.89340,605.44
30,0.58946,605.63
31,0.74079,605.81
32,1.05221,606.00
33,1.18123,606.19
34,1.11746,606.38
35,0.94873,606.56
36,1.08065,606.75
37,1.07774,606.94
38,1.09055,607.13
39,1.14353,607.31
40,1.13694,607.50
41,0.78953,607.69
42,0.58621,607.88
43,0.57158,608.06
44,0.69814,608.25
45,0.55216,608.44
46,0.18170,608.63
47,0.79856,608.81
48,0.57186,609.00
49,0.64367,609.19
50,0.02474,609.38
51,-0.07102,609.56
52,0.05308,609.75
53,-0.17682,609.94
54,0.02908,610.13
55,0.43389,610.31
56,-0.09245,610.50
57,0.19776,610.69
58,0.23933,610.88
59,0.02139,611.06
60,0.11120,611.25
61,0.39381,611.44
62,0.39577,611.63
63,0.80056,611.81
64,0.71726,612.00
65,1.06147,612.19
66,0.82063,612.38
67,0.93366,612.56
68,1.20369,612.75
69,1.28675,612.94
70,1.22220,613.13
71,1.44361,613.31
72,1.41405,613.50
73,1.54545,613.69
74,1.78885,613.88
75,1.74732,614.06
76,1.42941,614.25
77,1.76215,614.44
78,1.89746,614.63
79,2.05753,614.81
80,1.23910,615.00
81,1.05010,615.19
82,1.04369,615.38
83,0.70434,615.56
84,0.89756,615.75
85,0.49549,615.94
86,0.12135,616.13
87,0.55042,616.31
88,0.08580,616.50
