DieX,DieY,Bin,Parametric
10,1,Pass,77.0
11,1,Edge Fail,65.3
12,1,Edge Fail,65.4
13,1,Pass,77.9
14,1,Edge Fail,60.9
15,1,Pass,79.9
16,1,Pass,79.9
17,1,Pass,78.5
8,2,Parametric Fail,61.2
9,2,Pass,79.7
10,2,Pass,80.2
11,2,Pass,76.9
12,2,Pass,76.5
13,2,Pass,79.6
14,2,Pass,79.1
15,2,Pass,75.3
16,2,Pass,80.4
17,2,Edge Fail,64.7
18,2,Edge Fail,60.1
19,2,Edge Fail,60.1
6,3,Pass,80.4
7,3,Pass,77.0
8,3,Pass,78.1
9,3,Pass,77.0
10,3,Pass,75.8
11,3,Pass,80.9
12,3,Pass,80.0
13,3,Pass,79.2
14,3,Pass,76.3
15,3,Pass,76.7
16,3,Pass,79.6
17,3,Pass,80.1
18,3,Pass,80.0
19,3,Pass,78.3
20,3,Edge Fail,62.8
21,3,Edge Fail,60.7
5,4,Edge Fail,62.9
6,4,Pass,75.4
7,4,Parametric Fail,55.8
8,4,Pass,77.9
9,4,Pass,75.7
10,4,Pass,77.9
11,4,Pass,75.9
12,4,Pass,80.2
13,4,Pass,75.0
14,4,Pass,80.3
15,4,Pass,77.7
16,4,Pass,77.2
17,4,Pass,77.1
18,4,Pass,79.7
19,4,Pass,76.0
20,4,Pass,75.5
21,4,Edge Fail,65.2
22,4,Edge Fail,60.6
4,5,Pass,78.8
5,5,Pass,78.0
6,5,Pass,80.3
7,5,Pass,75.0
8,5,Pass,78.3
9,5,Pass,77.1
10,5,Pass,78.2
11,5,Pass,78.9
12,5,Pass,78.3
13,5,Pass,76.0
14,5,Pass,78.0
15,5,Pass,75.3
16,5,Pass,75.0
17,5,Pass,77.8
18,5,Pass,75.1
19,5,Pass,77.8
20,5,Pass,75.6
21,5,Pass,77.2
22,5,Pass,77.9
23,5,Edge Fail,65.6
3,6,Pass,78.0
4,6,Edge Fail,62.6
5,6,Parametric Fail,62.1
6,6,Pass,77.9
7,6,Pass,76.6
8,6,Pass,77.5
9,6,Pass,75.4
10,6,Pass,77.3
11,6,Pass,76.1
12,6,Pass,79.9
13,6,Pass,79.6
14,6,Pass,80.2
15,6,Pass,79.5
16,6,Pass,80.9
17,6,Pass,79.2
18,6,Pass,79.6
19,6,Pass,77.7
20,6,Pass,80.7
21,6,Pass,78.7
22,6,Pass,76.3
23,6,Pass,79.2
