Id,X,Y,Group,Weight
0,0.1814,0.7228,Main,0.131
1,-0.7468,0.0226,Main,0.017
2,-1.1398,-1.4866,Main,1.694
3,-0.8300,-0.6122,Main,0.508
4,-1.4739,1.0315,Main,1.520
5,-0.3329,0.7284,Main,0.242
6,0.5925,0.9453,Main,0.560
7,-0.0271,0.5489,Main,0.015
8,0.0014,0.7440,Main,0.001
9,0.6986,0.4070,Main,0.284
10,0.6280,1.1206,Main,0.704
11,0.4923,0.7941,Main,0.391
12,-0.8035,-0.2352,Main,0.189
13,-0.8301,1.0998,Main,0.913
14,2.6755,0.6710,Main,1.795
15,-0.9155,-0.4935,Main,0.452
16,-0.0902,-0.2096,Main,0.019
17,1.5177,0.3155,Main,0.479
18,0.0516,0.4709,Main,0.024
19,-3.5660,-2.1300,Main,7.596
20,0.2030,1.1375,Main,0.231
21,-0.0457,-1.4567,Main,0.067
22,1.2570,0.1490,Main,0.187
23,-1.3503,-0.1540,Main,0.208
24,0.7497,0.1353,Main,0.101
25,0.3174,1.6793,Main,0.533
26,0.8618,-0.0266,Main,0.023
27,0.8058,-0.5969,Main,0.481
28,1.3676,0.5095,Main,0.697
29,-0.2819,0.6447,Main,0.182
30,0.4977,-1.7078,Main,0.850
31,0.7323,-1.1107,Main,0.813
32,-0.2358,0.1329,Main,0.031
33,1.0829,1.9615,Main,2.124
34,0.9209,-0.1402,Main,0.129
35,0.9500,-0.8519,Main,0.809
36,1.3658,1.0193,Main,1.392
37,0.0470,-1.9785,Main,0.093
38,-0.0243,-0.7772,Main,0.019
39,-1.7476,0.5694,Main,0.995
40,-0.8819,1.1352,Main,1.001
41,1.1337,-1.7437,Main,1.977
42,-0.6043,0.5658,Main,0.342
43,-1.2807,0.1394,Main,0.179
44,-0.7936,-1.7552,Main,1.393
45,-0.1274,-0.9226,Main,0.118
46,-0.1541,-0.0311,Main,0.005
47,0.8902,0.7258,Main,0.646
48,-0.1067,-0.7396,Main,0.079
49,0.1076,1.5019,Main,0.162
50,0.0175,-0.3767,Main,0.007
51,0.1713,0.0352,Main,0.006
52,0.7835,-1.1040,Main,0.865
53,-0.8177,0.3437,Main,0.281
54,0.4415,-0.5687,Main,0.251
55,0.0585,-0.2655,Main,0.016
56,-1.0007,-0.0105,Main,0.010
57,0.7578,-1.3926,Main,1.055
58,0.9308,-2.5829,Main,2.404
59,-1.1811,-0.3584,Main,0.423
60,-0.7743,1.1105,Main,0.860
61,-1.0395,0.2321,Main,0.241
62,0.8046,-1.1967,Main,0.963
63,-0.5700,-0.5819,Main,0.332
64,-1.1813,-0.6876,Main,0.812
65,1.1516,1.2633,Main,1.455
66,1.2834,0.4530,Main,0.581
67,-0.1951,-0.4260,Main,0.083
68,-0.1621,-2.4849,Main,0.403
69,-0.3667,-1.2017,Main,0.441
70,0.1187,-1.5381,Main,0.183
71,0.2438,0.3201,Main,0.078
72,-1.8420,0.1539,Main,0.283
73,-0.8552,0.3127,Main,0.267
74,-0.6904,-0.4663,Main,0.322
75,-0.6660,1.1041,Main,0.735
76,1.0767,-0.0427,Main,0.046
77,0.7547,0.3291,Main,0.248
78,-0.1855,0.1793,Main,0.033
79,-0.0900,0.5767,Main,0.052
80,0.7651,0.0557,Main,0.043
81,-0.1436,-0.3982,Main,0.057
82,0.3712,0.3869,Main,0.144
83,-1.4090,0.2205,Main,0.311
84,1.5649,1.0495,Main,1.642
85,0.9191,0.7631,Main,0.701
86,0.3750,0.4026,Main,0.151
87,0.5488,-0.2349,Main,0.129
88,0.6044,1.4468,Main,0.875
89,0.4385,-1.4994,Main,0.657
90,0.9538,-0.6875,Main,0.656
91,-1.7826,-0.3066,Main,0.547
92,1.1892,-1.2603,Main,1.499
93,-0.8826,0.6706,Main,0.592
94,0.5441,0.4130,Main,0.225
95,2.0674,-1.1940,Main,2.469
96,1.0406,-0.6365,Main,0.662
97,0.2540,0.1628,Main,0.041
98,0.2707,0.3659,Main,0.099
99,-2.2836,0.3782,Main,0.864
100,0.2472,-0.8296,Main,0.205
101,-0.1393,-0.3597,Main,0.050
102,-0.9598,-0.3946,Main,0.379
103,-1.1601,-0.6534,Main,0.758
104,-1.9415,-0.4303,Main,0.835
105,0.1467,-1.2973,Main,0.190
106,-0.6262,1.3926,Main,0.872
107,0.5365,0.6685,Main,0.359
108,1.5296,1.7917,Main,2.741
109,-0.8340,-0.8546,Main,0.713
110,-0.6575,1.2091,Main,0.795
111,0.0655,-0.3939,Main,0.026
112,0.1367,0.2110,Main,0.029
113,0.2437,-2.1215,Main,0.517
114,-1.3280,-0.2597,Main,0.345
115,0.1071,0.8228,Main,0.088
116,-0.2872,2.0161,Main,0.579
117,0.2362,0.9247,Main,0.218
118,0.4996,0.2903,Main,0.145
119,-2.1898,-0.5734,Main,1.256
120,-1.1756,-0.2073,Main,0.244
121,-1.4912,0.6566,Main,0.979
122,0.2783,-0.6254,Main,0.174
123,-0.4175,1.5449,Main,0.645
124,-1.2008,-1.2634,Main,1.517
125,0.6651,-0.8717,Main,0.580
126,0.9291,-1.0128,Main,0.941
127,-0.3346,0.6538,Main,0.219
128,-0.3019,-0.3972,Main,0.120
129,-0.7509,-0.6115,Main,0.459
130,0.0658,0.1130,Main,0.007
131,1.3788,-1.4768,Main,2.036
132,-1.6599,1.0820,Main,1.796
133,-0.6674,-0.3891,Main,0.260
134,-0.1222,-0.3615,Main,0.044
135,-1.7530,0.3363,Main,0.590
