Id,X,Y,Class
0,-1.7542,-1.3268,A
1,-1.1843,-1.2561,A
2,-0.9476,-1.7431,A
3,-1.8413,-1.5533,A
4,-0.1730,-1.9916,A
5,-2.1653,-2.1334,A
6,-0.8106,0.1370,A
7,-1.1578,-0.1143,A
8,-0.9133,0.3349,A
9,-0.9037,-2.4399,A
10,-0.8403,-0.6083,A
11,-0.8178,-0.0267,A
12,-1.7862,-1.4896,A
13,-1.1404,-0.6643,A
14,-1.4450,-0.3043,A
15,-1.2631,-0.3401,A
16,-1.0005,-0.8163,A
17,-1.6546,-0.8713,A
18,-0.9890,-0.2364,A
19,-1.0795,-1.4384,A
20,-0.7553,-1.5560,A
21,-0.6467,-2.4182,A
22,-1.2434,-0.2567,A
23,-0.9237,-1.3621,A
24,-1.5057,-1.5211,A
25,-1.6161,-1.7947,A
26,-1.4341,-0.4906,A
27,-0.0879,-1.5456,A
28,0.2919,-0.8637,A
29,-1.3563,-0.9686,A
30,0.1980,-1.7396,A
31,-1.5275,-2.4996,A
32,-1.7648,-0.6349,A
33,-0.7288,0.0971,A
34,-2.1265,-1.7406,A
35,-0.9195,-1.1976,A
36,-1.0955,-1.5330,A
37,-0.7051,0.0714,A
38,-0.5779,-1.2602,A
39,0.1331,-0.4595,A
40,-0.0672,-0.7449,A
41,-1.3848,-1.2349,A
42,-1.2158,-0.1389,A
43,-0.2790,-0.0126,A
44,-1.8981,-0.9253,A
45,0.1771,-0.7504,A
46,-1.3131,-1.4640,A
47,-0.8365,-0.9115,A
48,-1.6762,-0.4457,A
49,-1.9588,0.2649,A
50,-0.7602,-1.1666,A
51,-1.2336,0.6089,A
52,-0.5799,-2.0440,A
53,-1.3129,-1.6659,A
54,-0.4171,-1.4992,A
55,-0.1891,-1.7889,A
56,-0.9744,-1.4854,A
57,-1.4823,-0.2838,A
58,-1.4853,-0.0306,A
59,-0.8317,-1.7877,A
60,-0.0811,-1.6379,A
61,-0.3938,-1.4847,A
62,0.1251,0.4337,A
63,-1.3311,-2.0022,A
64,-0.5582,-0.7337,A
65,-1.8651,-1.1538,A
66,-0.7686,-1.3152,A
67,-0.8832,0.1119,A
68,-0.7937,-1.9362,A
69,-0.8691,-0.6192,A
70,-1.0497,0.4375,A
71,-0.7313,-0.8601,A
72,-1.5245,-0.9660,A
73,-2.1450,-0.2596,A
74,-0.5595,-2.2063,A
75,-0.8295,-2.4249,A
76,-0.6669,-1.3319,A
77,-1.1641,-1.5942,A
78,0.1869,-1.2364,A
79,-3.1695,-1.7980,A
80,-0.0044,-1.1820,A
81,-1.4156,-1.4256,A
82,-0.7918,-0.2667,A
83,-1.1119,-0.8139,A
84,-2.5415,-1.1869,A
85,-1.2104,-0.3269,A
86,-1.2904,-0.5766,A
87,-1.2160,-0.5954,A
88,-1.3193,-1.0777,A
89,-0.3680,-1.3595,A
90,-1.8383,-1.9780,A
91,-0.1379,-1.2479,A
92,-1.5806,0.4180,A
93,-1.4829,-0.0805,A
94,-1.2288,-0.6633,A
95,-1.3591,-0.7924,A
96,-2.3177,-0.7874,A
97,-0.1700,-1.6650,A
98,-2.7932,-1.8975,A
99,-0.7408,-1.0829,A
100,-1.3774,-0.9091,A
101,-1.1168,-1.0605,A
102,-1.1679,-1.4594,A
103,-0.5078,-0.5696,A
104,-0.4847,-1.0857,A
105,-0.0106,-0.7833,A
106,-0.2268,-1.3924,A
107,-2.2403,-0.9661,A
108,-1.8324,-0.4782,A
109,-1.1022,-1.0007,A
110,-1.2906,-1.1721,A
111,-0.9875,-0.1831,A
112,-1.7909,-0.6493,A
113,-1.4970,-1.9263,A
114,-0.7706,-0.5313,A
115,-1.2917,-0.3216,A
116,-1.1036,-1.7090,A
117,0.4639,-2.4831,A
118,-1.1299,-2.1008,A
119,-1.5120,0.0359,A
120,-0.1227,-1.6549,A
121,-2.4971,0.2677,A
122,-1.3921,-1.5022,A
123,-0.7018,-1.3862,A
124,-1.6335,-1.3644,A
125,0.2385,-0.3142,A
126,-1.4936,-0.2637,A
127,-1.5684,-1.5095,A
128,0.3016,-1.7186,A
129,-0.2894,-1.7668,A
130,-0.6910,-1.5720,A
131,-0.7738,-0.5122,A
132,-1.1050,-1.4642,A
133,-1.2435,-2.3748,A
134,0.1336,-1.0097,A
135,-1.0108,-2.2448,A
136,-1.5330,-1.1824,A
137,-1.1905,-0.6643,A
138,-1.2372,-2.1557,A
139,-1.9429,-1.3372,A
140,-1.2035,-1.6752,A
141,-0.1848,-2.1300,A
142,-0.7434,-0.4515,A
143,-0.4045,-1.3670,A
144,-0.5863,-0.4020,A
145,0.3010,-0.2621,A
146,-0.6246,-1.1760,A
147,-2.4569,0.0743,A
148,-2.6001,-3.2152,A
149,-1.0443,-1.1555,A
150,-0.4441,-1.1051,A
151,-1.1108,-0.8202,A
152,-0.4132,-0.8705,A
